met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Aspartate,asp_L,inulinivorans,Amino Acid,Healthy,48.42166776660589,29.482563316710632,34,Roseburia inulinivorans,True,False
Fructose,fru,prausnitzii,Other,Healthy,48.38718617922459,25.51470595532941,36,Faecalibacterium prausnitzii,True,False
Lactate,lac_L,inulinivorans,Other,Healthy,48.23291275924348,33.80088533377673,19,Roseburia inulinivorans,True,False
Proton,h,onderdonkii,Other,Healthy,48.190502396217965,16.263788215447985,3,Alistipes onderdonkii,True,False
Water,h2o,bifidum,Other,Healthy,47.858570462037164,7.849621294458895,2,Bifidobacterium bifidum,False,True
Ethanol,etoh,bifidum,Other,Healthy,47.49763358851018,18.619124266104215,8,Bifidobacterium bifidum,False,True
Glutamate,glu_L,inulinivorans,Amino Acid,Healthy,47.40893018323893,33.55967740300341,3,Roseburia inulinivorans,True,False
Alanine,ala_L,onderdonkii,Amino Acid,Healthy,47.34507525071552,28.89648222574228,11,Alistipes onderdonkii,True,False
Aspartate,asp_L,onderdonkii,Amino Acid,Healthy,47.06751018119378,31.156786892734775,20,Alistipes onderdonkii,True,False
Proton,h,bifidum,Other,Healthy,46.96184106396114,25.870790734607343,6,Bifidobacterium bifidum,False,True
Hypoxanthine,hxan,bifidum,Other,Healthy,46.8655997438957,,1,Bifidobacterium bifidum,False,True
Fumarate,fum,wadsworthia,Other,Healthy,46.4676907434502,34.80464818885304,10,Bilophila wadsworthia,False,True
Serine,ser_L,hadrus,Other,Healthy,46.34172915993909,23.90593301025495,11,Anaerostipes hadrus,False,True
Fumarate,fum,intestini,Other,Healthy,45.90352195117265,,1,intestini,True,False
12dhchol,12dhchol,hadrus,Other,Healthy,45.62699123753519,26.845492879860444,19,Anaerostipes hadrus,False,True
12ppd_S,12ppd_S,bifidum,Other,Healthy,45.535400429546506,,1,Bifidobacterium bifidum,False,True
Valine,val_L,faecis,Other,Healthy,45.507580695303886,36.21714859222431,7,faecis,False,True
Proline,pro_L,wadsworthia,Amino Acid,Healthy,45.42492626891112,28.52534186679001,22,Bilophila wadsworthia,False,True
Alanine,ala_L,wadsworthia,Amino Acid,Healthy,45.39334158566173,24.32604194680584,11,Bilophila wadsworthia,False,True
Acetate,ac,intestini,SCFA,Healthy,45.28539269911382,14.727179434228342,7,intestini,True,False
CO2,co2,onderdonkii,Other,Healthy,45.27005942002201,27.25006606955192,13,Alistipes onderdonkii,True,False
Ethanol,etoh,intestini,Other,Healthy,45.154813127233815,25.873634551595494,11,intestini,True,False
Valine,val_L,bifidum,Other,Healthy,44.87273449010667,31.967933631799507,9,Bifidobacterium bifidum,False,True
Glutamine,gln_L,prausnitzii,Amino Acid,Healthy,44.777502310145096,28.500657151041526,15,Faecalibacterium prausnitzii,True,False
Thymidine,thymd,bifidum,Other,Healthy,44.57271020979735,,1,Bifidobacterium bifidum,False,True
CO2,co2,wadsworthia,Other,Healthy,44.07198045749829,34.22701004368914,34,Bilophila wadsworthia,False,True
Ammonium,nh4,prausnitzii,Other,Healthy,43.80304844281078,30.820881557754397,14,Faecalibacterium prausnitzii,True,False
Proton,h,prausnitzii,Other,Healthy,43.77895059031519,25.06204077598497,6,Faecalibacterium prausnitzii,True,False
Propionate,ppa,intestinihominis,SCFA,Healthy,43.473314734310534,28.48223484320572,2,intestinihominis,True,False
Aspartate,asp_L,faecis,Amino Acid,Healthy,43.45165969574008,28.76838558571303,10,faecis,False,True
Cysteine,cys_L,prausnitzii,Other,Healthy,42.50892686973463,28.718559833982084,61,Faecalibacterium prausnitzii,True,False
Serine,ser_L,faecis,Other,Healthy,42.324292815861476,27.270139125367443,10,faecis,False,True
CO2,co2,hadrus,Other,Healthy,42.183959626782475,21.30542036805772,29,Anaerostipes hadrus,False,True
Acetate,ac,hadrus,SCFA,Healthy,42.04287733620537,20.13247718755021,14,Anaerostipes hadrus,False,True
D-Lactate,lac_D,hadrus,Other,Healthy,41.942910537068606,24.538152325686212,16,Anaerostipes hadrus,False,True
D-Lactate,lac_D,onderdonkii,Other,Healthy,41.87391434419067,37.08664613315592,7,Alistipes onderdonkii,True,False
Ammonium,nh4,inulinivorans,Other,Healthy,41.8686772969101,23.88094258914312,9,Roseburia inulinivorans,True,False
D-Lactate,lac_D,inulinivorans,Other,Healthy,41.77788323574214,25.256538170861393,17,Roseburia inulinivorans,True,False
Glutathione (oxidized),gthox,prausnitzii,Other,Healthy,41.66678379720737,20.412127613135123,6,Faecalibacterium prausnitzii,True,False
Fumarate,fum,prausnitzii,Other,Healthy,41.56262432147156,26.463615391152082,12,Faecalibacterium prausnitzii,True,False
Xanthine,xan,bifidum,Other,Healthy,41.513304264188605,32.241070537661045,6,Bifidobacterium bifidum,False,True
Serine,ser_L,prausnitzii,Other,Healthy,41.35993261115381,17.230624910846252,11,Faecalibacterium prausnitzii,True,False
Proton,h,hadrus,Other,Healthy,41.238372244072515,22.808350369153118,35,Anaerostipes hadrus,False,True
Valine,val_L,onderdonkii,Other,Healthy,41.20273233601636,30.297428893956386,6,Alistipes onderdonkii,True,False
Water,h2o,faecis,Other,Healthy,40.98408396654841,31.922996539889244,8,faecis,False,True
Ethanol,etoh,inulinivorans,Other,Healthy,40.863421275740606,26.669647634354913,33,Roseburia inulinivorans,True,False
CO2,co2,prausnitzii,Other,Healthy,40.499545305820384,22.28424087221703,12,Faecalibacterium prausnitzii,True,False
Threonine,thr_L,prausnitzii,Amino Acid,Healthy,40.35351901161217,27.73313475037243,65,Faecalibacterium prausnitzii,True,False
Acetaldehyde,acald,prausnitzii,Other,Healthy,40.13023096180494,22.95594653889569,8,Faecalibacterium prausnitzii,True,False
12dhchol,12dhchol,prausnitzii,Other,Healthy,40.08001766282458,29.115545927344282,32,Faecalibacterium prausnitzii,True,False
26dap_M,26dap_M,bifidum,Other,Healthy,39.938217419631656,,1,Bifidobacterium bifidum,False,True
Aspartate,asp_L,hadrus,Amino Acid,Healthy,39.88320071987573,28.600268482428447,18,Anaerostipes hadrus,False,True
Aspartate,asp_L,prausnitzii,Amino Acid,Healthy,39.86548570434973,25.807401114464447,14,Faecalibacterium prausnitzii,True,False
Water,h2o,wadsworthia,Other,Healthy,39.64043647056107,29.3342522974768,18,Bilophila wadsworthia,False,True
Serine,ser_L,wadsworthia,Other,Healthy,39.30140343624222,,1,Bilophila wadsworthia,False,True
Glucose,glc_D,prausnitzii,Other,Healthy,39.11801019415976,32.029832151234196,17,Faecalibacterium prausnitzii,True,False
Proton,h,wadsworthia,Other,Healthy,39.039692667771725,25.581870745566587,3,Bilophila wadsworthia,False,True
Water,h2o,hadrus,Other,Healthy,38.208984936558046,27.384508830270264,16,Anaerostipes hadrus,False,True
D-Arabinose,arab_D,bifidum,Other,Healthy,38.12635197173957,44.20313179308111,4,Bifidobacterium bifidum,False,True
Lysine,lys_L,onderdonkii,Amino Acid,Healthy,36.9570007802101,44.792110651110505,3,Alistipes onderdonkii,True,False
Phenylalanine,phe_L,intestinihominis,Other,Healthy,36.91540542076509,47.75385681254491,3,intestinihominis,True,False
Proton,h,inulinivorans,Other,Healthy,36.75718129705128,30.009641907126447,19,Roseburia inulinivorans,True,False
Phenylalanine,phe_L,wadsworthia,Other,Healthy,36.755556567352045,23.681231295866592,8,Bilophila wadsworthia,False,True
Tryptophan,trp_L,hadrus,Indole / Tryptophan,Healthy,36.579183220373665,14.310257553862996,4,Anaerostipes hadrus,False,True
Deoxyadenosine,dad_2,faecis,Other,Healthy,36.3687813143163,39.48050522801165,2,faecis,False,True
Histidine,his_L,hadrus,Other,Healthy,36.290199462627896,29.179295135349182,2,Anaerostipes hadrus,False,True
Acetate,ac,inulinivorans,SCFA,Healthy,36.28038904106134,25.248225487595057,15,Roseburia inulinivorans,True,False
Hydrogen,h2,faecis,Other,Healthy,36.24321067500029,29.08750892402002,15,faecis,False,True
Acetate,ac,onderdonkii,SCFA,Healthy,35.838367504434665,26.15297885529087,12,Alistipes onderdonkii,True,False
Guanosine,gsn,onderdonkii,Other,Healthy,35.79354759582818,31.53983937936478,18,Alistipes onderdonkii,True,False
Valine,val_L,hadrus,Other,Healthy,35.75537110900684,27.04863364378692,31,Anaerostipes hadrus,False,True
Cholate,cholate,hadrus,Bile Acid,Healthy,35.73057981251965,27.931075242998396,14,Anaerostipes hadrus,False,True
Proline,pro_L,bifidum,Amino Acid,Healthy,35.32755589385765,30.274421304201493,7,Bifidobacterium bifidum,False,True
12ppd_S,12ppd_S,faecis,Other,Healthy,34.769409272072686,25.18953387047853,24,faecis,False,True
D-Lactate,lac_D,intestini,Other,Healthy,34.627094436981416,26.800161089611358,6,intestini,True,False
26dap_M,26dap_M,intestinihominis,Other,Healthy,34.59231619750132,24.63115506057852,4,intestinihominis,True,False
Acetaldehyde,acald,intestini,Other,Healthy,34.09099042904436,27.555212874994716,3,intestini,True,False
Deoxyguanosine,dgsn,bifidum,Other,Healthy,34.05100907912084,13.7562154954998,6,Bifidobacterium bifidum,False,True
2obut,2obut,faecis,Other,Healthy,33.88190694591766,36.91194154418609,4,faecis,False,True
Deoxycytidine,dcyt,prausnitzii,Other,Healthy,32.64032460602286,25.11935991565955,9,Faecalibacterium prausnitzii,True,False
Adenine,ade,bifidum,Other,Healthy,32.5581395348521,,1,Bifidobacterium bifidum,False,True
Succinate,succ,hadrus,Other,Healthy,32.537400352520706,21.53480800813366,20,Anaerostipes hadrus,False,True
Ethanol,etoh,prausnitzii,Other,Healthy,32.34501169199249,18.730479635506452,13,Faecalibacterium prausnitzii,True,False
Cysteine,cys_L,hadrus,Other,Healthy,32.271876788883645,21.938606313654773,20,Anaerostipes hadrus,False,True
Proline,pro_L,inulinivorans,Amino Acid,Healthy,32.007229748530165,30.5957004272715,2,Roseburia inulinivorans,True,False
Glutamate,glu_L,hadrus,Amino Acid,Healthy,31.835793265961485,39.862930753772964,3,Anaerostipes hadrus,False,True
Butyrate,but,hadrus,SCFA,Healthy,31.261055625003912,23.94187651381938,21,Anaerostipes hadrus,False,True
Glycine,gly,hadrus,Amino Acid,Healthy,31.18138262054004,22.20519149659299,20,Anaerostipes hadrus,False,True
3mop,3mop,prausnitzii,Other,Healthy,31.17304822413064,31.66329756930231,46,Faecalibacterium prausnitzii,True,False
Threonine,thr_L,intestinihominis,Amino Acid,Healthy,31.08185276127436,27.63689563524766,5,intestinihominis,True,False
Glycerol-3-Phosphate,glyc3p,onderdonkii,Other,Healthy,30.998181107450986,35.54850157084154,6,Alistipes onderdonkii,True,False
Proline,pro_L,faecis,Amino Acid,Healthy,30.94333979232306,26.468595931412708,3,faecis,False,True
Hydrogen Sulfide,h2s,prausnitzii,Other,Healthy,30.313995168082602,23.96263039390175,5,Faecalibacterium prausnitzii,True,False
Tyrosine,tyr_L,inulinivorans,Other,Healthy,30.1056563576275,28.701222562908367,5,Roseburia inulinivorans,True,False
Lysine,lys_L,intestinihominis,Amino Acid,Healthy,30.000000000051532,,1,intestinihominis,True,False
Water,h2o,inulinivorans,Other,Healthy,29.926713189896713,23.40799525851053,23,Roseburia inulinivorans,True,False
Leucine,leu_L,prausnitzii,Amino Acid,Healthy,29.551286418378183,24.087455285575352,29,Faecalibacterium prausnitzii,True,False
Isoleucine,ile_L,prausnitzii,Amino Acid,Healthy,29.348848847144687,28.967190153430785,25,Faecalibacterium prausnitzii,True,False
Glycerol,glyc,onderdonkii,Other,Healthy,29.22240823201236,33.865654086640205,21,Alistipes onderdonkii,True,False
CO2,co2,bifidum,Other,Healthy,28.772651194348917,21.436030094652182,10,Bifidobacterium bifidum,False,True
Deoxycytidine,dcyt,onderdonkii,Other,Healthy,28.12357135766669,34.27947530259796,6,Alistipes onderdonkii,True,False
GABA,4abut,onderdonkii,Other,Healthy,27.572585225327124,15.031403794121664,2,Alistipes onderdonkii,True,False
Serine,ser_L,intestinihominis,Other,Healthy,27.55026935778749,15.226293377004836,15,intestinihominis,True,False
Butyrate,but,inulinivorans,SCFA,Healthy,27.226107385691048,23.011702452322357,25,Roseburia inulinivorans,True,False
Pyruvate,pyr,wadsworthia,Other,Healthy,27.20459343613765,32.07003633395912,7,Bilophila wadsworthia,False,True
Acetaldehyde,acald,faecis,Other,Healthy,26.94732489278414,28.25352826599148,6,faecis,False,True
rbflvrd,rbflvrd,prausnitzii,Other,Healthy,26.642863895238445,31.537980917337407,23,Faecalibacterium prausnitzii,True,False
Hydrogen Sulfide,h2s,hadrus,Other,Healthy,26.42088494832713,,1,Anaerostipes hadrus,False,True
Hydrogen,h2,inulinivorans,Other,Healthy,26.414925951983008,7.766199437113145,3,Roseburia inulinivorans,True,False
Lysine,lys_L,inulinivorans,Amino Acid,Healthy,26.158891315823766,23.35045508600462,15,Roseburia inulinivorans,True,False
Urea,urea,prausnitzii,Other,Healthy,26.02328156697338,24.54535895600081,9,Faecalibacterium prausnitzii,True,False
Valine,val_L,wadsworthia,Other,Healthy,25.64950790407904,16.75484347868299,5,Bilophila wadsworthia,False,True
Serine,ser_L,onderdonkii,Other,Healthy,25.171926604203595,11.325813080843062,10,Alistipes onderdonkii,True,False
Leucine,leu_L,intestini,Amino Acid,Healthy,25.0,,1,intestini,True,False
tmao,tmao,wadsworthia,Other,Healthy,24.78952702907647,27.846185115929508,10,Bilophila wadsworthia,False,True
Proline,pro_L,hadrus,Amino Acid,Healthy,24.557657820836702,19.620887285445914,2,Anaerostipes hadrus,False,True
Cholate,cholate,prausnitzii,Bile Acid,Healthy,24.53807666486175,23.089309560587854,10,Faecalibacterium prausnitzii,True,False
Succinate,succ,onderdonkii,Other,Healthy,24.514276228277023,28.139426292275807,44,Alistipes onderdonkii,True,False
Asparagine,asn_L,inulinivorans,Other,Healthy,24.365035691072826,20.2911954678193,10,Roseburia inulinivorans,True,False
Glutamate,glu_L,wadsworthia,Amino Acid,Healthy,24.3296173959508,23.23035578845294,3,Bilophila wadsworthia,False,True
Butyrate,but,prausnitzii,SCFA,Healthy,24.27555309605062,1.2955049163764565,2,Faecalibacterium prausnitzii,True,False
Glutamate,glu_L,prausnitzii,Amino Acid,Healthy,24.144954268609013,24.820265702190817,4,Faecalibacterium prausnitzii,True,False
strch2,strch2,inulinivorans,Other,Healthy,23.644540710105797,21.104940341527264,21,Roseburia inulinivorans,True,False
Isoleucine,ile_L,hadrus,Amino Acid,Healthy,22.901015805995993,12.01879961158349,3,Anaerostipes hadrus,False,True
CO2,co2,intestinihominis,Other,Healthy,22.53513341238325,10.85867318570094,6,intestinihominis,True,False
Stearate,ocdca,prausnitzii,Other,Healthy,21.908124094657758,,1,Faecalibacterium prausnitzii,True,False
Hypoxanthine,hxan,prausnitzii,Other,Healthy,20.976447413103127,15.364968487457704,37,Faecalibacterium prausnitzii,True,False
Phosphate,pi,wadsworthia,Other,Healthy,20.851076064489856,15.258756255294024,10,Bilophila wadsworthia,False,True
Cysteine,cys_L,intestini,Other,Healthy,20.45368140903245,12.197586466741825,7,intestini,True,False
Asparagine,asn_L,prausnitzii,Other,Healthy,20.257000446882792,17.986656166369702,4,Faecalibacterium prausnitzii,True,False
Deoxyadenosine,dad_2,intestinihominis,Other,Healthy,19.999999999999687,4.714045207909767,2,intestinihominis,True,False
Histidine,his_L,bifidum,Other,Healthy,19.938683947375154,23.204833010405288,5,Bifidobacterium bifidum,False,True
Lysine,lys_L,prausnitzii,Amino Acid,Healthy,19.80258599306712,24.238543185938664,44,Faecalibacterium prausnitzii,True,False
Glutathione (reduced),gthrd,prausnitzii,Other,Healthy,19.38738954678531,28.482232559588198,14,Faecalibacterium prausnitzii,True,False
strch2,strch2,prausnitzii,Other,Healthy,19.25567745039114,20.67940366720303,21,Faecalibacterium prausnitzii,True,False
Glycine,gly,intestini,Amino Acid,Healthy,18.342549251484137,13.01802241181991,7,intestini,True,False
ppi,ppi,bifidum,Other,Healthy,17.7414197750466,2.355384334483395,2,Bifidobacterium bifidum,False,True
Cysteine,cys_L,wadsworthia,Other,Healthy,17.436748859217946,15.398692876192639,4,Bilophila wadsworthia,False,True
Threonine,thr_L,wadsworthia,Amino Acid,Healthy,17.235733326482443,16.82446976605302,4,Bilophila wadsworthia,False,True
Maltose,malt,prausnitzii,Other,Healthy,16.685092245885052,17.658580122984066,11,Faecalibacterium prausnitzii,True,False
Leucine,leu_L,wadsworthia,Amino Acid,Healthy,16.66722968052106,27.009973631227705,4,Bilophila wadsworthia,False,True
Formate,for,wadsworthia,Other,Healthy,16.339748340030088,28.222210873340284,3,Bilophila wadsworthia,False,True
Asparagine,asn_L,intestinihominis,Other,Healthy,16.31498152986361,17.27296421438012,5,intestinihominis,True,False
Formate,for,bifidum,Other,Healthy,15.926255969602966,,1,Bifidobacterium bifidum,False,True
12ppd_S,12ppd_S,inulinivorans,Other,Healthy,15.660335869107769,14.210112115459305,4,Roseburia inulinivorans,True,False
Trimethylamine,tma,wadsworthia,Other,Healthy,15.288971986758082,16.552622611535277,10,Bilophila wadsworthia,False,True
Glycerol,glyc,bifidum,Other,Healthy,15.226817509046862,26.641285462535436,10,Bifidobacterium bifidum,False,True
Tyrosine,tyr_L,prausnitzii,Other,Healthy,14.986145385034702,,1,Faecalibacterium prausnitzii,True,False
Acetate,ac,intestinihominis,SCFA,Healthy,14.473440825203639,22.448345346692605,19,intestinihominis,True,False
Glycerol,glyc,hadrus,Other,Healthy,14.182782113837488,19.779955604419456,16,Anaerostipes hadrus,False,True
Ornithine,orn,prausnitzii,Polyamine,Healthy,13.604954134009716,,1,Faecalibacterium prausnitzii,True,False
Deoxyadenosine,dad_2,bifidum,Other,Healthy,11.865694266417906,6.413962426896327,3,Bifidobacterium bifidum,False,True
Formate,for,faecis,Other,Healthy,11.539078871679695,26.32219850188143,86,faecis,False,True
Glucose,glc_D,inulinivorans,Other,Healthy,11.263540384848193,12.416466617271059,23,Roseburia inulinivorans,True,False
Arginine,arg_L,wadsworthia,Polyamine,Healthy,11.235837650185687,9.155380701330431,9,Bilophila wadsworthia,False,True
Glycine,gly,wadsworthia,Amino Acid,Healthy,10.32592561230248,7.231650568824486,3,Bilophila wadsworthia,False,True
Galactose,gal,prausnitzii,Other,Healthy,9.65064961683497,11.81353947354895,27,Faecalibacterium prausnitzii,True,False
N-Acetylglucosamine,acgam,intestinihominis,Other,Healthy,9.523809523811991,,1,intestinihominis,True,False
Uridine,uri,prausnitzii,Other,Healthy,8.72993715927672,4.150902530117954,2,Faecalibacterium prausnitzii,True,False
Lcystin,Lcystin,prausnitzii,Other,Healthy,8.702634394000201,12.504574797744565,13,Faecalibacterium prausnitzii,True,False
Formate,for,prausnitzii,Other,Healthy,8.139256208044685,,1,Faecalibacterium prausnitzii,True,False
Isoleucine,ile_L,bifidum,Amino Acid,Healthy,7.6523651106080575,,1,Bifidobacterium bifidum,False,True
Cytidine,cytd,bifidum,Other,Healthy,7.588346937120816,4.158163385158691,13,Bifidobacterium bifidum,False,True
Nicotinate,nac,intestini,Other,Healthy,7.347117695344051,5.962132715087264,19,intestini,True,False
Glucose,glc_D,bifidum,Other,Healthy,7.193598073582933,,1,Bifidobacterium bifidum,False,True
Tetradecanoate,ttdca,wadsworthia,Other,Healthy,4.612774194704136,,1,Bilophila wadsworthia,False,True
Galactose,gal,intestinihominis,Other,Healthy,4.553727105111619,5.52662537075052,3,intestinihominis,True,False
Malate,mal_L,intestini,Other,Healthy,4.424959835669995,,1,intestini,True,False
CO2,co2,intestini,Other,Healthy,4.386506963475052,10.098689630574356,6,intestini,True,False
26dap_M,26dap_M,hadrus,Other,Healthy,4.367733309431507,5.190775790687862,2,Anaerostipes hadrus,False,True
2obut,2obut,bifidum,Other,Healthy,4.155279916913766,11.617936446023664,15,Bifidobacterium bifidum,False,True
Ornithine,orn,intestini,Polyamine,Healthy,4.153552284172515,0.3283120429805537,3,intestini,True,False
Deoxycytidine,dcyt,intestinihominis,Other,Healthy,3.670713713812802,,1,intestinihominis,True,False
gcald,gcald,bifidum,Other,Healthy,3.3494321860383045,13.279282138532405,16,Bifidobacterium bifidum,False,True
Succinate,succ,intestini,Other,Healthy,3.172866475997683,12.820102930259722,17,intestini,True,False
mqn8,mqn8,faecis,Other,Healthy,2.9401223662024503,0.9715109779467105,11,faecis,False,True
Glycerol,glyc,prausnitzii,Other,Healthy,2.585090739794304,8.548268179584284,30,Faecalibacterium prausnitzii,True,False
Maltose,malt,inulinivorans,Other,Healthy,2.341957998471874,2.7890965838097634,13,Roseburia inulinivorans,True,False
Fructose,fru,inulinivorans,Other,Healthy,2.083558039429959,3.79014045307559,4,Roseburia inulinivorans,True,False
Thymidine,thymd,onderdonkii,Other,Healthy,2.0443807439543322,2.2687374994229996,2,Alistipes onderdonkii,True,False
Glycerol,glyc,intestinihominis,Other,Healthy,1.8584536838607413,7.0806584912330255,22,intestinihominis,True,False
Galacturonate,galur,prausnitzii,Other,Healthy,1.6250505518359286,2.170279026560427,15,Faecalibacterium prausnitzii,True,False
Inosine,ins,onderdonkii,Other,Healthy,1.6038049793496645,0.7319974130132472,15,Alistipes onderdonkii,True,False
Threonine,thr_L,hadrus,Amino Acid,Healthy,1.4427896869955248,,1,Anaerostipes hadrus,False,True
Aspartate,asp_L,bifidum,Amino Acid,Healthy,1.3306631374800493,,1,Bifidobacterium bifidum,False,True
Inosine,ins,faecis,Other,Healthy,1.1037968992798384,0.6306326688221284,16,faecis,False,True
meoh,meoh,prausnitzii,Other,Healthy,0.7887105674829675,1.0526633639497733,16,Faecalibacterium prausnitzii,True,False
Tetradecanoate,ttdca,bifidum,Other,Healthy,0.739903722153684,0.18635488625082844,2,Bifidobacterium bifidum,False,True
Glycerol,glyc,faecis,Other,Healthy,0.660275431256981,0.33767651949276933,26,faecis,False,True
malttr,malttr,inulinivorans,Other,Healthy,0.3335870026209039,0.914332310393479,57,Roseburia inulinivorans,True,False
gcald,gcald,faecis,Other,Healthy,0.2705952720012571,0.1320351331714293,112,faecis,False,True
Histidine,his_L,prausnitzii,Other,Healthy,0.2690130392322761,0.12402468104548119,2,Faecalibacterium prausnitzii,True,False
Adenosine,adn,intestinihominis,Other,Healthy,0.2456736543958847,0.7234838256553637,20,intestinihominis,True,False
gcald,gcald,hadrus,Other,Healthy,0.2275329947759384,0.28399785320479776,23,Anaerostipes hadrus,False,True
Formate,for,hadrus,Other,Healthy,0.15469907313510545,0.15611527867862432,21,Anaerostipes hadrus,False,True
Nicotinate,nac,onderdonkii,Other,Healthy,0.1271500926096758,0.0003698986662020941,2,Alistipes onderdonkii,True,False
Succinate,succ,bifidum,Other,Healthy,0.10889901911717893,,1,Bifidobacterium bifidum,False,True
Thymidine,thymd,intestinihominis,Other,Healthy,0.08502017666744151,0.1116150672237611,2,intestinihominis,True,False
Nicotinate,nac,intestinihominis,Other,Healthy,0.06773777594557485,,1,intestinihominis,True,False
Oxygen,o2,bifidum,Other,Healthy,0.01480682498743855,0.00754125263225868,15,Bifidobacterium bifidum,False,True
Oxygen,o2,intestini,Other,Healthy,0.011331112660598565,0.008040015349569881,17,intestini,True,False
